lambda logF blocking_frac
22.9 5.4011 000
23.4 5.9208 313
24.3 6.2042 247
25.2 6.5796 107
25.6 6.5049 492
26.0 6.9479 088
26.6 7.9702 361
27.5 8.0435 267
28.3 8.1813 131
29.3 8.3475 102
30.1 7.9717 998
30.9 9.4487 947
32.5 10.4684 449
34.2 10.5987 255
35.1 10.5185 386
35.6 10.6647 451
36.5 10.6953 458
37.5 10.5744 590
38.4 10.3077 781
40.0 10.6428 556
41.5 10.6818 521
42.5 10.6579 546
44.5 10.7535 427
47.2 10.7440 432
49.4 10.7820 373
50.6 10.9993 557
51.6 11.1337 395
54.0 11.1079 425
56.4 11.1688 330
58.7 11.1630 330
61.2 11.1870 279
64.0 11.2049 232
67.1 11.2193 185
70.5 11.1912 212
73.6 11.2484 073
77.0 11.1984 145
81.0 11.2254 050
85.0 11.1756 115
89.0 11.1960 029
92.0 11.2796 457
94.0 11.4431 178
96.2 11.4781 069
98.7 11.4407 104
101.2 11.4245 094
103.7 11.4217 055
106.2 11.3905 077
108.7 11.3893 034
111.2 11.3594 054
113.7 11.3293 075
116.2 11.3216 047
118.7 11.2785 095
121.0 11.2687 077
122.9 11.2612 060
125.4 11.2390 065
128.5 11.2111 071
131.2 11.1685 116
133.7 11.1488 116
136.2 11.1270 121
138.7 11.1054 125
141.0 11.0892 122
143.3 11.0747 116
145.7 11.0710 086
148.2 11.0604 069
150.7 11.0409 070
153.2 10.9948 128
155.7 10.9009 267
158.2 10.9762 090
160.8 10.9619 081
163.5 10.9377 091
166.3 10.9221 082
168.8 10.9047 081
171.2 10.8887 080
173.7 10.8856 049
176.2 10.8700 045
178.7 10.8574 035
181.5 10.8365 039
184.0 10.8223 033
186.2 10.8085 032
189.2 10.7934 021
192.0 10.7745 022
194.0 10.7636 017
196.4 10.7502 012
198.9 10.7331 014
201.2 10.7223 006
203.7 10.7059 007
206.3 10.6922 010
208.8 10.6752 014
211.2 10.6618 010
213.7 10.6482 006
216.2 10.6334 006
218.7 10.6188 005
221.2 10.6041 004
223.7 10.5904 001
226.2 10.5745 004
228.7 10.5566 012
231.2 10.5447 006
233.7 10.5321 002
236.2 10.5172 003
238.7 10.4994 011
241.2 10.4886 004
243.7 10.4744 004
246.2 10.4607 004
248.7 10.4228 057
250.6 10.4317 015
251.9 10.4257 012
253.7 10.4202 002
256.2 10.4067 002
258.7 10.3930 003
261.2 10.3799 003
263.7 10.3675 001
266.2 10.3540 001
268.7 10.3400 004
271.2 10.3284 000
273.7 10.3134 005
276.2 10.3026 001
278.7 10.2887 004
281.2 10.2771 001
283.7 10.2645 001
286.2 10.2521 001
288.7 10.2398 001
291.2 10.2276 001
293.7 10.2155 001
296.2 10.2031 001
298.7 10.1905 003
301.2 10.1769 006
303.7 10.1655 005
306.2 10.1554 001
308.7 10.1435 002
311.2 10.1311 003
313.7 10.1196 003
316.2 10.1088 001
318.7 10.0973 002
321.2 10.0838 006
323.7 10.0751 000
326.2 10.0617 005
328.7 10.0518 002
331.2 10.0410 002
333.7 10.0293 003
336.2 10.0189 000
338.7 10.0082 001
341.2 9.9970 002
343.7 9.9860 003
346.2 9.9757 002
348.7 9.9652 002
351.2 9.9551 000
353.7 9.9445 001
356.2 9.9338 001
358.7 9.9234 001
361.2 9.9126 002
363.6 9.9027 002
366.1 9.8942 013
368.7 9.8825 016
371.2 9.8659 030
373.7 9.8598 022
376.2 9.8426 038
378.7 9.8415 018
381.2 9.8360 008
383.7 9.8213 019
386.2 9.8192 002
388.7 9.8002 023
391.2 9.7997 007
393.7 9.7907 001
396.2 9.7712 024
398.7 9.7718 001
401.2 9.7623 001
403.7 9.7512 005
406.2 9.7433 002
408.7 9.7324 005
411.2 9.7160 021
413.7 9.7160 001
416.2 9.7071 000
418.7 9.6969 002
421.2 9.6882 002
423.7 9.6798 000
426.2 9.6709 000
428.7 9.6620 000
431.2 9.6528 001
433.7 9.6321 028
436.2 9.6348 002
438.7 9.6255 003
441.2 9.6170 003
443.7 9.6090 001
421.2 9.6882 002
423.7 9.6798 000
426.2 9.6709 000
428.7 9.6620 000
431.2 9.6528 001
433.7 9.6321 028
436.2 9.6348 002
438.7 9.6255 003
441.2 9.6170 003
443.7 9.6090 001
446.2 9.5992 004
448.7 9.5919 001
451.2 9.5833 001
453.7 9.5732 004
456.2 9.5665 000
458.7 9.5580 000
461.2 9.5496 000
463.7 9.5372 010
466.2 9.5300 007
468.7 9.5207 009
471.2 9.5162 001
473.7 9.5084 000
476.2 9.5003 000
478.7 9.4921 000
481.2 9.4839 000
483.7 9.4760 000
486.2 9.4568 025
488.7 9.4600 000
491.2 9.4511 002
493.7 9.4441 000
496.2 9.4362 000
498.7 9.4284 000
502.5 9.4161 001
507.5 9.4010 000
512.5 9.3857 000
517.5 9.3705 000
522.5 9.3553 000
527.5 9.3403 000
532.5 9.3256 000
537.5 9.3109 000
542.5 9.2951 003
547.5 9.2818 000
552.5 9.2674 000
557.5 9.2529 001
562.5 9.2391 000
567.5 9.2246 001
572.5 9.2117 000
577.5 9.1979 000
582.5 9.1834 002
587.5 9.1688 004
592.5 9.1569 001
597.5 9.1434 001
602.5 9.1298 002
607.5 9.1170 001
612.5 9.1037 001
617.5 9.0909 001
622.5 9.0778 001
627.5 9.0651 001
632.5 9.0523 001
637.5 9.0400 000
642.5 9.0271 001
647.5 9.0151 000
652.5 9.0022 001
657.5 8.9841 014
662.5 8.9787 000
667.5 8.9643 004
672.5 8.9537 001
677.5 8.9421 000
682.5 8.9303 000
687.5 8.9177 007
692.5 8.9067 000
697.5 8.8950 000
702.5 8.8835 000
707.5 8.8713 007
715.0 8.8545 001
725.0 8.8323 000
735.0 8.8101 000
745.0 8.7881 000
755.0 8.7659 001
765.0 8.7449 000
775.0 8.7238 000
785.0 8.7028 000
795.0 8.6821 000
805.0 8.6617 000
815.2 8.6411 000
825.2 8.6207 006
835.0 8.6020 005
845.0 8.5824 005
855.0 8.5623 007
865.0 8.5428 008
875.0 8.5248 006
885.0 8.5055 007
895.0 8.4898 000
905.0 8.4685 007
915.0 8.4535 000
925.0 8.4319 008
935.0 8.4170 002
945.0 8.4002 000
955.0 8.3789 009
965.0 8.3655 000
975.0 8.3484 000
985.0 8.3315 000
995.0 8.3147 000
1005.0 8.2940 009
1015.0 8.2802 003
1025.0 8.2654 000
1035.0 8.2489 001
1045.0 8.2332 000
1055.0 8.2174 000
1065.0 8.2017 000
1075.0 8.1861 000
1085.0 8.1699 002
1095.0 8.1506 011
1105.0 8.1401 000
1115.0 8.1252 000
1125.0 8.1104 000
1135.0 8.0956 000
1145.0 8.0810 000
1155.0 8.0664 000
1165.0 8.0509 003
1175.0 8.0377 000
1185.0 8.0234 000
1195.0 8.0090 001
1205.0 7.9954 000
1215.0 7.9815 000
1225.0 7.9678 000
1235.0 7.9541 000
